发表日期	产品名	抓取来源	是否天猫超市	是否天猫	原文地址	店名	内容	标题	内容_维度	内容_属性	内容_情感	内容_正负面
2016/7/27 15:38	绅士牌-碧根果	京东商城			http://club.jd.com/repay/2999853_eec4649a-c4fb-4bbf-80eb-5a627dd07c12_1.html		快递很快，第二天就到了，口味不错，值得购买。	美国进口 绅士牌(Planters)美式盐焗碧根果205g	价格感知|产品|服务|服务	价格|味道|物流|物流	值得购买|不错|很快|第二天就到	正面|正面|正面|正面
2016/7/27 15:52	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_b3869d67-4191-4c61-9529-b05621a9e8d5_1.html		还行，感觉没有小区商店卖的好吃??	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品	味道	好吃	正面
2016/7/27 15:53	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_dea595e4-a09d-489f-aeee-14d34e737ca4_1.html		好	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g				
2016/7/27 15:56	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_57021ce1-2a66-4ff6-b419-84be6a8cd14c_1.html		超划算 京东隔天就到了 以后都不用去香港买啦 好大好大一罐呀 孩子好喜欢吃	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	价格感知|产品|外包装|服务	价格|喜好度|包装|物流	划算|喜欢|好大一罐|隔天就到	正面|正面|正面|正面
2016/7/27 15:57	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_f1b0b646-f56b-49e0-8e0f-60561fb65d72_1.html		早上下单，中午送到，速度快味道香	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|服务	味道|物流	香|快	正面|正面
2016/7/27 16:02	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_737b5d77-8fff-47d7-8a5c-aab22b8df967_1.html		好吃到停不了口	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品	味道	好吃	正面
2016/7/27 16:03	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_84c358b1-944b-4a60-97e8-9e902b7b2c99_1.html		好吃	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品	味道	好吃	正面
2016/7/27 16:04	绅士牌-腰果	淘宝网			http://item.taobao.com/item.htm?id=522585771435	哈里美汇halimeihui	好评！	美国进口绅士牌Planters  半腰果 果仁 226g 进口零食 灌装				
2016/7/27 16:04	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=522196435303	哈里美汇halimeihui	好评！	美国Planters/绅士花生 淡盐 鸡尾酒花生453g 休闲食品 满包邮				
2016/7/27 16:08	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_ad5839c3-455a-4731-829d-a1255a248bd8_1.html		期待已久的好产品，支持卡夫亨氏	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	品牌	回头率	支持	正面
2016/7/27 16:12	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_dfd3a8df-981d-4574-b579-f31cca425a6f_1.html		口感超好，美国售量第一名不虚传	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品|品牌	味道|知名度	超好|名不虚传	正面|正面
2016/7/27 16:14	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_7a231675-9ae9-41f0-ae2a-834435002195_1.html		送货速度一流，上午单下午到。包装完好，日期新鲜，味道不错?。	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	外包装|产品|服务|安全性|服务	包装|味道|物流|货期|物流	完好|不错|完好|新鲜|一流	正面|正面|正面|正面|正面
